<br><span style="">[none, used for sound - fei]</span><br>	<span style="font-size: 32px; ">啡</span><br><span style="">fēi</span><br><span style="">咖啡, kāfēi, coffee</span>
<span style="font-size: 32px; ">非</span>	<span style="">fēi</span><br><span style="">not</span><br><span style="">非常, fēicháng, very</span>
<br><span style="">not</span><br>	<span style="font-size: 32px; ">非</span><br><span style="">fēi</span><br><span style="">非常, fēicháng, very</span>
<span style="font-size: 32px; ">份</span>	<span style="">fèn</span><br><span style="">portion</span><br><span style="">身份证, shēnfènzhèng, identity card</span>
<br><span style="">portion</span><br>	<span style="font-size: 32px; ">份</span><br><span style="">fèn</span><br><span style="">身份证, shēnfènzhèng, identity card</span>
<span style="font-size: 32px; ">氛</span>	<span style="">fēn</span><br><span style="">atmosphere</span><br><span style="">气氛, qìfēn, atmosphere</span>
<br><span style="">atmosphere</span><br>	<span style="font-size: 32px; ">氛</span><br><span style="">fēn</span><br><span style="">气氛, qìfēn, atmosphere</span>
<span style="font-size: 32px; ">负</span>	<span style="">fù</span><br><span style="">carry</span><br><span style="">负责, fùzé, be responsible</span>
<br><span style="">carry</span><br>	<span style="font-size: 32px; ">负</span><br><span style="">fù</span><br><span style="">负责, fùzé, be responsible</span>
<span style="font-size: 32px; ">父</span>	<span style="">fù</span><br><span style="">father</span><br><span style="">父母, fùmǔ, parents</span>
<br><span style="">father</span><br>	<span style="font-size: 32px; ">父</span><br><span style="">fù</span><br><span style="">父母, fùmǔ, parents</span>
<span style="font-size: 32px; ">fǔ</span>	<span style="">府</span><br><span style="">government</span><br><span style="">王府井, Wángfǔjǐng, Wangfujing (shopping area in Beijing)</span>
<br><span style="">government</span><br>	<span style="font-size: 32px; ">fǔ</span><br><span style="">府</span><br><span style="">王府井, Wángfǔjǐng, Wangfujing (shopping area in Beijing)</span>
<span style="font-size: 32px; ">傅</span>	<span style="">fù</span><br><span style="">master</span><br><span style="">师傅, shīfu, term of address</span>
<br><span style="">master</span><br>	<span style="font-size: 32px; ">傅</span><br><span style="">fù</span><br><span style="">师傅, shīfu, term of address</span>
<span style="font-size: 32px; ">腐</span>	<span style="">fǔ</span><br><span style="">rotten</span><br><span style="">豆腐, dòufu, tofu</span>
<br><span style="">rotten</span><br>	<span style="font-size: 32px; ">腐</span><br><span style="">fǔ</span><br><span style="">豆腐, dòufu, tofu</span>
<span style="font-size: 32px; ">服</span>	<span style="">fú</span><br><span style="">serve</span><br><span style="">服务员, fúwùyuán, attendent/waiter<br>舒服, shūfu, comfortable</span>
<br><span style="">serve</span><br>	<span style="font-size: 32px; ">服</span><br><span style="">fú</span><br><span style="">服务员, fúwùyuán, attendent/waiter<br>舒服, shūfu, comfortable</span>
<span style="font-size: 32px; ">附</span>	<span style="">fù</span><br><span style="">enclose</span><br><span style="">附近, fùjìn, vicinity</span>
